Feature_ID,Correlacao,Status
503,-0.0419,Podado
504,-0.0126,Podado
505,-0.0379,Podado
506,-0.1598,Podado
507,-0.0334,Podado
508,-0.0219,Podado
509,-0.0126,Podado
510,-0.0219,Podado
511,-0.0179,Podado
512,-0.0126,Podado
513,-0.0126,Podado
514,-0.0126,Podado
515,-0.0400,Podado
516,-0.0219,Podado
517,-0.0219,Podado
518,-0.0219,Podado
519,-0.0126,Podado
520,-0.0283,Podado
521,-0.0179,Podado
522,-0.0126,Podado
523,-0.0126,Podado
524,-0.0219,Podado
525,-0.0126,Podado
526,-0.0126,Podado
527,-0.0456,Podado
528,-0.0179,Podado
529,-0.0126,Podado
530,-0.0126,Podado
531,-0.0126,Podado
532,-0.0126,Podado
533,-0.0179,Podado
534,-0.0179,Podado
535,-0.0506,Podado
536,-0.0693,Podado
537,-0.0253,Podado
538,-0.0126,Podado
539,-0.0126,Podado
540,-0.0126,Podado
541,-0.0253,Podado
542,-0.0126,Podado
543,-0.0219,Podado
544,-0.0219,Podado
545,-0.0253,Podado
546,-0.0219,Podado
547,-0.0126,Podado
548,-0.0126,Podado
549,-0.0179,Podado
550,-0.0821,Podado
551,-0.0728,Podado
552,-0.0253,Podado
553,-0.0126,Podado
554,-0.0126,Podado
555,-0.0179,Podado
556,-0.0126,Podado
557,-0.0219,Podado
558,-0.0219,Podado
559,-0.0310,Podado
560,-0.0126,Podado
561,-0.0219,Podado
562,-0.0566,Podado
563,-0.0126,Podado
564,-0.0179,Podado
565,-0.0179,Podado
566,-0.0219,Podado
567,-0.0253,Podado
568,-0.0126,Podado
569,-0.0126,Podado
570,-0.0126,Podado
571,-0.0126,Podado
572,-0.0219,Podado
573,-0.0126,Podado
574,-0.0126,Podado
575,-0.0400,Podado
576,-0.0126,Podado
577,-0.0310,Podado
578,-0.0126,Podado
579,-0.0126,Podado
580,-0.0283,Podado
581,-0.0283,Podado
582,-0.0126,Podado
583,-0.0126,Podado
584,-0.0126,Podado
585,-0.0473,Podado
586,-0.0219,Podado
587,-0.0126,Podado
588,-0.0869,Podado
589,-0.0357,Podado
590,-0.0179,Podado
